Genome ID,Completeness,Phylum,Class,Order,Family,Genus,Species,FliF,FliG,FliI,FliR,FlhA,FlhB,FlgB,FlgC,FlgE,FlgK,FliE,FliP,FliQ,MotA,MotB,FliH,FliM,FliK,FlgD,FlgL,FliO,FliC,FliJ,FliL,FlgN,FlgF,FlgG,FliS,FliD,FliA,FlhF,PilZ/YcgR,FliT,FlgJ,FlgM,FlhG,FlgI,FlgH,FlgA,FlaG,FliW,MotE,CsrA,FlgR/FlrC/FlrA/FlaK/FlbD,SwrB/FlgW,SwrD,Flagellar_put/Putative,yvyF,YviE/DUF6470,FlaF,FliB,MotC,MotK,MotX ,MotY,PflA,PflB,FlcA,FlcB,FlcC,FlcD,FlbT,FlgP,FlgT,FliZ,tPilZ/FlgX,FlhC,FlhD,DUF327,FapA/DUF342,DUF1217,FlgO,FlaY,YdiV,FlhE,FlgQ,flk,Glucosaminidase,SwrA,FljA,SLT/Transglycosylase,FliN/FliY
GCF_000019965.1,99.32,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Opitutus,s__Opitutus terrae,WP_012373252.1,WP_012373251.1,WP_012373247.1,WP_012373235.1,WP_012373233.1,WP_012373234.1,WP_044891487.1,WP_012373254.1,WP_012373242.1,WP_012373219.1,WP_012373253.1,WP_012373237.1,WP_012373236.1,WP_012373229.1,WP_012373228.1,WP_012373249.1,WP_012373240.1,,WP_012373243.1,WP_012373218.1,WP_012373238.1,"WP_012373215.1,WP_012373273.1,WP_012373274.1,WP_012373275.1,WP_012373276.1",WP_012373246.1,WP_012373241.1,WP_012373220.1,WP_012373226.1,WP_012373225.1,WP_012373269.1,WP_012373272.1,WP_012373230.1,WP_148217975.1,,WP_012373268.1,WP_012373221.1,,,WP_012373222.1,WP_012373223.1,WP_012373224.1,,WP_012373217.1,WP_012373245.1,WP_012373216.1,WP_012373265.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_012373239.1
GCA_001567115.1,96.82,p__OLB16,c__OLB16,o__OLB16,f__OLB16,g__OLB16,s__OLB16 sp001567115,KXK35863.1,KXK35862.1,KXK35860.1,KXK36025.1,KXK36023.1,"KXK33990.1,KXK36024.1",KXK35867.1,KXK35866.1,KXK34110.1,"KXK34126.1,KXK34127.1",,KXK36027.1,KXK36026.1,KXK33508.1,KXK33507.1,KXK35861.1,KXK36030.1,KXK33511.1,,KXK34125.1,KXK36028.1,"KXK29170.1,KXK29171.1,KXK34124.1",KXK35859.1,,KXK34128.1,KXK34134.1,KXK34133.1,KXK29167.1,KXK29168.1,KXK36019.1,KXK36022.1,,,KXK34129.1,KXK37612.1,KXK36021.1,KXK34130.1,KXK34131.1,KXK34132.1,KXK29169.1,KXK30693.1,,KXK30694.1,KXK35839.1,KXK36017.1,KXK33551.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KXK36029.1
GCA_003598085.1,97.74,p__Abyssobacteria,c__SURF-5,o__SURF-5,f__SURF-5,g__SURF-5,s__SURF-5 sp003598085,RJP14971.1,RJP15011.1,RJP14973.1,RJP22000.1,RJP22002.1,"RJP22001.1,RJP22010.1",RJP14968.1,RJP14969.1,RJP14978.1,RJP26170.1,RJP14970.1,RJP15014.1,RJP21999.1,RJP14979.1,RJP14980.1,RJP14972.1,RJP22005.1,"RJP14976.1,RJP22009.1",RJP15012.1,RJP26171.1,RJP14983.1,RJP20926.1,RJP14974.1,RJP14981.1,RJP26169.1,RJP26163.1,RJP26164.1,RJP20929.1,RJP20928.1,RJP22007.1,RJP22003.1,"RJP17283.1,RJP21139.1,RJP22857.1",RJP14965.1,RJP26168.1,RJP23850.1,"RJP22004.1,RJP22546.1",RJP26167.1,RJP26166.1,RJP26165.1,RJP20927.1,RJP26187.1,RJP14975.1,RJP26172.1,RJP14967.1,RJP22008.1,RJP15013.1,RJP14977.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RJP14982.1,RJP22006.1"
GCF_000474745.1,97.67,p__Fibrobacterota,c__Chitinivibrionia,o__Chitinivibrionales,f__Chitinivibrionaceae,g__Chitinivibrio,s__Chitinivibrio alkaliphilus,WP_022636812.1,WP_022636811.1,WP_022636809.1,WP_022635688.1,WP_022636190.1,"WP_022635689.1,WP_022637142.1",WP_022636816.1,WP_022636815.1,WP_022636555.1,WP_022635735.1,WP_022636813.1,WP_022635686.1,WP_022635687.1,WP_022636553.1,WP_022636552.1,WP_022636810.1,WP_022636550.1,WP_022636558.1,WP_022636557.1,WP_022635734.1,WP_022635685.1,"WP_022635733.1,WP_022637317.1,WP_022637438.1,WP_022637439.1,WP_022637516.1,WP_034638415.1",WP_155851809.1,WP_022636551.1,WP_022635736.1,WP_022635719.1,WP_022635718.1,"WP_022635636.1,WP_022636670.1",WP_022636774.1,WP_022636194.1,WP_022636191.1,"WP_022635745.1,WP_022636409.1,WP_022636663.1,WP_022637595.1",WP_022636773.1,WP_022635737.1,"WP_022636532.1,WP_022637460.1",WP_022636192.1,WP_022635715.1,WP_022635716.1,WP_022635717.1,WP_022636775.1,WP_022635732.1,WP_022636560.1,WP_022635731.1,,WP_022637140.1,WP_022636554.1,WP_022636556.1,,,,,,,,,,,,,,,,,,,,,,,WP_162146704.1,,,,,,,,,,,,"WP_022636139.1,WP_022636549.1"
GCA_001789205.1,97.8,p__Fibrobacterota,c__OXYB2-FULL-49-7,o__OXYB2-FULL-49-7,f__XYB2-FULL-49-35,g__XYB2-FULL-49-35,s__XYB2-FULL-49-35 sp001789205,OGJ92999.1,OGJ92998.1,OGJ92996.1,OGJ92609.1,OGJ92612.1,"OGJ86515.1,OGJ92610.1","OGJ91886.1,OGJ93002.1",OGJ93001.1,"OGJ85907.1,OGJ93379.1",OGJ89222.1,OGJ93057.1,OGJ92607.1,OGJ92608.1,OGJ91166.1,OGJ91165.1,OGJ92997.1,OGJ85904.1,"OGJ85910.1,OGJ86493.1",OGJ85909.1,OGJ89223.1,OGJ92606.1,"OGJ87279.1,OGJ88240.1,OGJ88984.1,OGJ89169.1,OGJ89224.1,OGJ89542.1,OGJ94022.1",OGJ92995.1,OGJ85905.1,OGJ89221.1,OGJ85965.1,OGJ85964.1,"OGJ93434.1,OGJ93758.1",OGJ93757.1,OGJ92616.1,OGJ92613.1,"OGJ90152.1,OGJ90670.1,OGJ92403.1,OGJ92582.1,OGJ94165.1,OGJ94366.1",OGJ93759.1,OGJ89220.1,"OGJ86259.1,OGJ88987.1,OGJ93818.1",OGJ92614.1,OGJ85961.1,OGJ85962.1,OGJ85963.1,,OGJ85559.1,OGJ85911.1,OGJ85560.1,,OGJ86494.1,OGJ85906.1,OGJ85908.1,,,,,,,,,,,,,,,,,,,,,,,"OGJ86398.1,OGJ88621.1,OGJ85987.1,OGJ89122.1,OGJ93893.1",,,,,,,,,,,,OGJ85903.1
GCA_005223185.1,97.8,p__AABM5-125-24,c__B3-LCP,o__B3-LCP,f__B3-LCP,g__B3-LCP,s__B3-LCP sp005223185,TKJ42224.1,TKJ42225.1,TKJ42227.1,TKJ42242.1,TKJ42244.1,TKJ42243.1,TKJ42221.1,TKJ42222.1,TKJ42233.1,TKJ40280.1,TKJ42223.1,TKJ42240.1,TKJ42241.1,TKJ40726.1,TKJ40727.1,TKJ42226.1,TKJ42236.1,TKJ42230.1,"TKJ41626.1,TKJ42231.1",TKJ40278.1,TKJ42238.1,"TKJ39683.1,TKJ39790.1,TKJ40269.1",TKJ42228.1,TKJ42235.1,TKJ40281.1,TKJ40287.1,TKJ40286.1,TKJ40267.1,TKJ40268.1,TKJ42248.1,TKJ42245.1,TKJ39959.1,TKJ40270.1,TKJ40282.1,TKJ40266.1,TKJ42246.1,TKJ40283.1,TKJ40284.1,TKJ40285.1,,,TKJ42229.1,,TKJ42220.1,,TKJ42234.1,TKJ42232.1,,,,,,,,,,,,,,,,,,,,,,,"TKJ42239.1,TKJ42192.1,TKJ42193.1,TKJ41265.1,TKJ42433.1",,,,,,,,,,,,TKJ42237.1
GCF_001886815.1,98.84,p__Calditrichota,c__Calditrichia,o__Calditrichales,f__Calditrichaceae,g__Caldithrix,s__Caldithrix abyssi,WP_006929527.1,WP_006929528.1,WP_006929530.1,WP_006929545.1,WP_006929547.1,WP_006929546.1,WP_006929521.1,WP_006929522.1,WP_006929536.1,WP_006929564.1,WP_006929526.1,WP_006929543.1,WP_006929544.1,WP_006929537.1,WP_006929538.1,WP_169833698.1,WP_006929540.1,WP_006929533.1,WP_006929534.1,WP_006929565.1,WP_006929542.1,"WP_006929484.1,WP_006929637.1",WP_006929531.1,WP_006929539.1,WP_006929563.1,WP_006929557.1,WP_006929558.1,WP_006929485.1,WP_006929486.1,WP_081475083.1,WP_006929549.1,,WP_006929488.1,WP_006929562.1,"WP_006929489.1,WP_006929490.1",WP_006929551.1,WP_006929561.1,WP_006929560.1,WP_006929559.1,WP_006929487.1,,WP_006929532.1,,WP_006929517.1,,,WP_006929535.1,,,,,,,,,,,,,,,,,,,,,,,"WP_006929507.1,WP_006929494.1",,,,,,,,,,,,WP_006929541.1
GCF_900182705.1,99.33,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,g__Gracilimonas,s__Gracilimonas mengyeensis,WP_142455108.1,WP_142455107.1,WP_142455105.1,WP_142455091.1,WP_142456134.1,WP_142456135.1,WP_185957300.1,WP_142455111.1,WP_142455100.1,WP_142456143.1,WP_142455109.1,WP_142455093.1,WP_142455092.1,WP_142455099.1,WP_142455098.1,WP_185957299.1,WP_185957298.1,WP_142455102.1,WP_142455101.1,WP_142456144.1,WP_142455094.1,"WP_142455825.1,WP_142456160.1,WP_142456161.1,WP_142456162.1,WP_185957342.1,WP_185957368.1",WP_142455104.1,WP_142455097.1,WP_142456142.1,WP_142456136.1,WP_142456137.1,WP_142456150.1,WP_142456149.1,WP_142456130.1,WP_142456133.1,,WP_185957366.1,WP_142456141.1,,WP_185957362.1,WP_185957365.1,WP_185957364.1,WP_185957363.1,,,WP_142455103.1,,WP_142456146.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_142455095.1
GCF_000013045.1,96.51,p__Bacteroidota,c__Rhodothermia,o__Rhodothermales,f__Salinibacteraceae,g__Salinibacter,s__Salinibacter ruber,WP_011405329.1,WP_013062779.1,WP_011405326.1,WP_011405298.1,WP_231847190.1,WP_011405297.1,WP_103017338.1,WP_011405332.1,WP_011405319.1,WP_011405349.1,WP_011405330.1,WP_051010891.1,WP_011405299.1,WP_011405306.1,WP_112904838.1,WP_011405327.1,WP_011405303.1,WP_164923678.1,WP_231847195.1,WP_011405348.1,WP_231847191.1,"WP_011405342.1,WP_011405343.1",WP_158442709.1,WP_011405304.1,WP_112904905.1,WP_011405356.1,WP_011405355.1,WP_112904885.1,WP_011405338.1,WP_011405293.1,WP_011405295.1,,WP_011405337.1,WP_013062800.1,WP_011405336.1,WP_011405294.1,WP_112904907.1,WP_011405353.1,WP_011405354.1,,,WP_013062776.1,,WP_164923680.1,,,WP_011405320.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_011405312.1,WP_112904835.1
GCF_900070205.1,96.16,p__Bacteroidota,c__Kryptonia,o__Kryptoniales,f__Kryptoniaceae,g__Kryptonium,s__Kryptonium mobile,WP_140945153.1,WP_140945152.1,WP_140945150.1,WP_140945304.1,WP_140945302.1,WP_140945303.1,WP_140945157.1,WP_140945156.1,WP_140945143.1,WP_140944089.1,WP_140945154.1,WP_140945306.1,WP_140945305.1,WP_140944091.1,WP_140944092.1,WP_181180295.1,WP_140945309.1,WP_140945146.1,WP_140945145.1,WP_140944090.1,WP_140945307.1,WP_140944907.1,WP_140945149.1,WP_140945310.1,WP_140944088.1,WP_140944082.1,WP_140944083.1,WP_140944908.1,WP_140944909.1,WP_140944078.1,WP_140944075.1,,WP_140944911.1,WP_140944087.1,WP_140944912.1,WP_140944076.1,WP_140944086.1,WP_181180200.1,WP_140944084.1,WP_140944910.1,WP_140944093.1,WP_140945148.1,WP_140944094.1,WP_140945136.1,WP_140944081.1,WP_140945142.1,WP_140945144.1,,,,,,,,,,,,,,,,,,,,,,,WP_140945249.1,,,,,,,,,,,,WP_140945308.1
GCF_000258405.1,98.86,p__Bacteroidota,c__Ignavibacteria,o__Ignavibacteriales,f__Ignavibacteriaceae,g__Ignavibacterium,s__Ignavibacterium album,WP_014561388.1,WP_014561387.1,WP_275039097.1,WP_168026845.1,WP_148267652.1,WP_014561371.1,WP_014561392.1,WP_014561391.1,WP_014561379.1,WP_014561354.1,WP_014561389.1,WP_041294167.1,WP_014561373.1,"WP_014561347.1,WP_014561352.1",WP_014561346.1,WP_014561386.1,WP_014561377.1,WP_014561382.1,WP_014561381.1,WP_014561353.1,WP_014561375.1,WP_014561411.1,WP_014561384.1,WP_041294168.1,WP_041294165.1,WP_014561361.1,WP_014561360.1,WP_014561410.1,WP_014561409.1,WP_244405184.1,WP_014561369.1,,WP_014561408.1,WP_014561356.1,WP_014561407.1,WP_014561368.1,WP_014561357.1,WP_014561358.1,WP_014561359.1,,WP_014561350.1,WP_014561383.1,WP_014561349.1,WP_014561404.1,,,WP_014561380.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_014561376.1
GCA_001804705.1,97.43,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__UBA2268,g__XYC2-FULL-35-21,s__XYC2-FULL-35-21 sp001804705,OGV23148.1,OGV23149.1,OGV23151.1,OGV22966.1,OGV22945.1,OGV20039.1,OGV23145.1,OGV23146.1,OGV23157.1,OGV19296.1,OGV23193.1,OGV22968.1,,"OGV19294.1,OGV19738.1","OGV19737.1,OGV20554.1",OGV23150.1,OGV20647.1,OGV23154.1,OGV23155.1,OGV19295.1,OGV20645.1,"OGV19287.1,OGV19288.1,OGV20189.1",OGV23152.1,OGV20648.1,OGV22747.1,OGV22753.1,OGV22752.1,OGV20209.1,OGV20188.1,OGV19393.1,OGV19396.1,,OGV20186.1,OGV22748.1,OGV20185.1,OGV19395.1,OGV22749.1,OGV22750.1,OGV22751.1,OGV20187.1,OGV20553.1,OGV23153.1,OGV20552.1,,,OGV22359.1,OGV23156.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGV20646.1
GCA_001872685.1,94.51,p__Marinisomatota,c__UBA8477,o__UBA8477,f__UBA8477,g__UBA8477,s__UBA8477 sp001872685,OIO63925.1,OIO63926.1,OIO63928.1,OIO63587.1,OIO63595.1,OIO63586.1,OIO63921.1,OIO63922.1,OIO63933.1,OIO63571.1,OIO63924.1,OIO63589.1,OIO63588.1,"OIO63934.1,OIO64521.1,OIO66954.1,OIO66992.1","OIO63938.1,OIO66955.1,OIO66956.1,OIO66994.1",OIO63927.1,OIO63591.1,OIO63931.1,OIO63932.1,OIO63570.1,OIO63590.1,,OIO63929.1,OIO63592.1,OIO63572.1,OIO63593.1,OIO63577.1,,,OIO63583.1,OIO63585.1,,,OIO63573.1,,OIO63594.1,OIO63574.1,OIO63575.1,OIO63576.1,,OIO63569.1,OIO63930.1,OIO63568.1,,,,OIO63937.1,,,,,,,,,,,,,,,,,,,,,,,OIO63916.1,,,,,,,,,,,,
